Devname1,Devname2,Tossingprob
andre_weinand,dirk_baeumer,3.36E-02
andre_weinand,dj_houghton,8.40E-03
andre_weinand,eclipse,1.68E-02
andre_weinand,erich_gamma,5.88E-02
andre_weinand,grant_gayed,8.40E-03
andre_weinand,jdt-core-inbox,2.52E-02
andre_weinand,jdt-debug-inbox,8.40E-03
andre_weinand,jdt-text-inbox,2.52E-02
andre_weinand,jdt-ui-inbox,4.20E-02
andre_weinand,kai-uwe_maetzel,3.36E-02
andre_weinand,karice_mcintyre,8.40E-03
andre_weinand,kevin_mcguire,3.36E-02
andre_weinand,kovesp,8.40E-03
andre_weinand,markus_keller,2.52E-02
andre_weinand,martin_aeschlimann,3.36E-02
andre_weinand,michael_valenta,6.72E-02
andre_weinand,mike_wilson,2.52E-02
andre_weinand,nick_edgar,8.40E-03
andre_weinand,pde-ui-inbox,8.40E-03
andre_weinand,peter.kyme,8.40E-03
andre_weinand,platform-compare-inbox,8.40E-03
andre_weinand,platform-core-inbox,8.40E-03
andre_weinand,platform-cvs-inbox,8.40E-03
andre_weinand,platform-releng-inbox,1.68E-02
andre_weinand,platform-swt-inbox,7.56E-02
andre_weinand,platform-team-inbox,1.68E-02
andre_weinand,platform-text-inbox,5.04E-02
andre_weinand,platform-ui-inbox,6.72E-02
andre_weinand,platform-vcm-inbox,4.20E-02
andre_weinand,rafael_chaves,1.68E-02
andre_weinand,silenio_quarti,8.40E-03
andre_weinand,snorthov,1.68E-02
andre_weinand,sonia_dimitrov,1.68E-02
andre_weinand,tobias_widmer,8.40E-03
andre_weinand,tomasz.zarna,1.68E-02
andre_weinand,veronika_irvine,3.36E-02
andre_weinand,wassim.melhem,8.40E-03
andre_weinand,webmaster,8.40E-03
andrea.aime,dj_houghton,1
andrea_covas,bkonrath,2.50E-01
andrea_covas,john_arthorne,2.50E-01
andrea_covas,michaelvanmeekeren,2.50E-01
andrea_covas,tod_creasey,2.50E-01
andreas.buchen,andrew_johnson,1.25E-01
andreas.buchen,david_williams,1.25E-01
andreas.buchen,elena.nayashkova,2.50E-01
andreas.buchen,erwin.margewitsch,1.25E-01
andreas.buchen,krum.tsvetkov,2.50E-01
andreas.buchen,markus.kohler,1.25E-01
andreas.deimer,mik.kersten,1
andreas.fischbach,adrian.goerler,1
andreas.hoegger,matthias.zimmermann,2.00E-01
andreas.hoegger,mvi,4.00E-01
andreas.hoegger,stephan.leichtvogt,4.00E-01
andreas.krueger,konradk,1
andreas.weber,juergen.schumacher,1
andrei.ilitchev,adrian.goerler,1.25E-01
andrei.ilitchev,douglas.clarke,1.25E-01
andrei.ilitchev,eclipselink.foundation-inbox,1.25E-01
andrei.ilitchev,edwin.tang,2.50E-01
andrei.ilitchev,gordon.yorke,1.25E-01
andrei.ilitchev,guy.pelletier,1.25E-01
andrei.ilitchev,peter.krogh,1.25E-01
andrei.sobolev,alex.panchenko,5.56E-02
andrei.sobolev,andrey,1.11E-01
andrei.sobolev,fourdman,1.11E-01
andrei.sobolev,jgangemi,5.56E-02
andrei.sobolev,kds,1.11E-01
andrei.sobolev,mikhail.kalugin,1.11E-01
andrei.sobolev,timur,4.44E-01
andrej,markus_keller,1
andrew,andrew.eisenberg,3.33E-01
andrew,john_arthorne,3.33E-01
andrew,steffen.pingel,3.33E-01
andrew.clement,aclement,8.00E-01
andrew.clement,adrian.colyer,2.00E-01
andrew.eisenberg,aclement,2.00E-01
andrew.eisenberg,aspectj-inbox,2.00E-01
andrew.eisenberg,mes,2.00E-01
andrew.eisenberg,phendriks,2.00E-01
andrew.eisenberg,tptp.platform-inbox,2.00E-01
andrew.ferguson,aeschli,1.11E-01
andrew.ferguson,anton.leherbauer,2.22E-01
andrew.ferguson,cdt-core-inbox,1.11E-01
andrew.ferguson,dschaefer,1.11E-01
andrew.ferguson,eclipse.sprigogin,1.11E-01
andrew.ferguson,jamesblackburn+eclipse,1.11E-01
andrew.ferguson,markus.schorn,1.11E-01
andrew.ferguson,mikhail.sennikovskiy,1.11E-01
andrew.kaylor,duncan,2.00E-01
andrew.kaylor,karla.callaghan,2.00E-01
andrew.kaylor,kevin.p.o'leary,2.00E-01
andrew.kaylor,paules,2.00E-01
andrew.kaylor,srinivas.p.doddapaneni,2.00E-01
andrew.m.finkbeiner,ryan.schmitt,1
andrew.mcculloch,ian.trimble,1
andrew.ross,wayne,1
andrew_irvine,airvine,4.62E-01
andrew_irvine,eduardo_pereira,3.46E-01
andrew_irvine,kevin_haaland,7.69E-02
andrew_irvine,knut_radloff,3.85E-02
andrew_irvine,nick_edgar,7.69E-02
andrew_johnson,krum.tsvetkov,1
andrey,alex,3.23E-02
andrey,alex.panchenko,6.45E-02
andrey,andrei.sobolev,1.29E-01
andrey,eclipse.survey,3.23E-02
andrey,fourdman,6.45E-02
andrey,haiodo,6.45E-02
andrey,ilya.seleznev,3.23E-02
andrey,jcompagner,3.23E-02
andrey,jgangemi,3.23E-02
andrey,kds,6.45E-02
andrey,kurtov,1.61E-01
andrey,sfactor,3.23E-02
andrey,timur,1.61E-01
andrey,vbelov,3.23E-02
andrey,yuri,6.45E-02
andykong,ewchan,3.33E-01
andykong,jgwest,3.33E-01
andykong,jkubasta,3.33E-01
andyzhai,cbrealey,5.00E-01
andyzhai,kathy,5.00E-01
angelina,khapitas,1
angvoz.dev,cdt-build-inbox,4.55E-02
angvoz.dev,cdt-build-managed-inbox,4.55E-02
angvoz.dev,cdt-codan-inbox,4.55E-02
angvoz.dev,cdt-core-inbox,4.55E-02
angvoz.dev,cdt-editor-inbox,4.55E-02
angvoz.dev,cdt-parser-inbox,4.55E-02
angvoz.dev,cdt-source-nav-inbox,4.55E-02
angvoz.dev,cdtdoug,4.55E-02
angvoz.dev,doug.schaefer,4.55E-02
angvoz.dev,ebaron,4.55E-02
angvoz.dev,equinox.compendium-inbox,4.55E-02
angvoz.dev,freidin.alex,4.55E-02
angvoz.dev,hitmaen,4.55E-02
angvoz.dev,jamesblackburn+eclipse,1.36E-01
angvoz.dev,jjohnstn,4.55E-02
angvoz.dev,malaperle,4.55E-02
angvoz.dev,marc.khouzam,4.55E-02
angvoz.dev,mylyn-inbox,4.55E-02
angvoz.dev,vivkong,4.55E-02
angvoz.dev,wst.xml-inbox,4.55E-02
aniefer,alain,1.12E-02
aniefer,baumanbr,1.12E-02
aniefer,buckminster.core-inbox,1.12E-02
aniefer,caniszczyk,2.25E-02
aniefer,cdt-core-inbox,2.25E-02
aniefer,cocoakevin,1.12E-02
aniefer,cwindatt,1.12E-02
aniefer,daniel_megert,1.12E-02
aniefer,darin.eclipse,1.12E-02
aniefer,david_williams,1.12E-02
aniefer,dejan,1.12E-02
aniefer,devin_steffler,3.37E-02
aniefer,dj_houghton,1.12E-02
aniefer,dschaefe,3.37E-02
